logicalEventKey,headSha,predictionCreatedAt,planMode,testsSelectedDiffci,testsTotalFull,recordedRunId,recordedRunPath,recordedConclusion,contaminationReason,evidenceRunsForHead,retroVerdict,retroEvidenceRunId,retroEvidenceConclusion,retroEvidenceCreatedAt,retroEvidenceCompletedAt,predictionPrecededRetroEvidence,predictionPrecededRetroEvidenceStart
adityankale190895/DiffCI.com:8d9937672dea9e2828c229bd8d8f62dbdd4fcf0d:33289741290:1,8d9937672dea9e2828c229bd8d8f62dbdd4fcf0d,2026-08-30T03:27:07.196Z,FULL,171,171,33289741290,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33289741293,success,2026-08-30T03:12:42Z,2026-08-30T04:20:34Z,true,false
adityankale190895/DiffCI.com:8f64aed0785771acecd90f39704dbf4a7459dda4:33290279764:1,8f64aed0785771acecd90f39704dbf4a7459dda4,2026-08-30T03:27:10.133Z,FULL,171,171,33290279764,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33290279758,success,2026-08-30T03:26:50Z,2026-08-30T04:33:05Z,true,false
adityankale190895/DiffCI.com:e5daeac15f7c70df2f4f20d982e06402e8910378:33292183017:1,e5daeac15f7c70df2f4f20d982e06402e8910378,2026-08-30T04:18:16.314Z,SELECTIVE,0,171,33292183017,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33292183028,success,2026-08-30T04:17:59Z,2026-08-30T05:20:16Z,true,false
adityankale190895/DiffCI.com:89794368d4934f0eea31c202bb51988cd2bbf63d:33292628044:1,89794368d4934f0eea31c202bb51988cd2bbf63d,2026-08-30T04:30:21.115Z,FULL,171,171,33292628044,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33292627951,success,2026-08-30T04:30:06Z,2026-08-30T06:03:04Z,true,false
adityankale190895/DiffCI.com:142d60ef56416fab46e9a9ea913f4b80af3b8a2e:33294307777:1,142d60ef56416fab46e9a9ea913f4b80af3b8a2e,2026-08-30T05:16:14.671Z,SELECTIVE,1,172,33294307777,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33294307779,success,2026-08-30T05:15:55Z,2026-08-30T07:13:38Z,true,false
adityankale190895/DiffCI.com:55dc45b3eebb9742706f973f677085bae9fab249:33295904748:1,55dc45b3eebb9742706f973f677085bae9fab249,2026-08-30T06:00:35.622Z,SELECTIVE,0,172,33295904748,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33295904720,success,2026-08-30T06:00:19Z,2026-08-30T07:15:27Z,true,false
adityankale190895/DiffCI.com:1ff2fd10c78c655a6679fa67841d7876ee4a8775:33299398479:1,1ff2fd10c78c655a6679fa67841d7876ee4a8775,2026-08-30T07:31:22.335Z,SELECTIVE,1,173,33299398479,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33299398466,success,2026-08-30T07:31:08Z,2026-08-30T07:55:56Z,true,false
adityankale190895/DiffCI.com:18fbf075beaf9e3a9406b16b7915a057185a6809:33300517893:1,18fbf075beaf9e3a9406b16b7915a057185a6809,2026-08-30T09:03:51.267Z,SELECTIVE,1,173,33300517893,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33300517857,success,2026-08-30T08:00:26Z,2026-08-30T09:26:49Z,true,false
adityankale190895/DiffCI.com:bb377a80e6dab37c739fca3f647663eecf64d39d:33303103682:1,bb377a80e6dab37c739fca3f647663eecf64d39d,2026-08-30T09:03:54.930Z,SELECTIVE,0,173,33303103682,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33303103683,success,2026-08-30T09:03:36Z,2026-08-30T09:30:44Z,true,false
adityankale190895/DiffCI.com:04750a3d8f3941d542cc8abf5f9779be00042804:33305394577:1,04750a3d8f3941d542cc8abf5f9779be00042804,2026-08-30T10:00:25.020Z,SELECTIVE,0,173,33305394577,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33305394574,success,2026-08-30T10:00:11Z,2026-08-30T11:04:46Z,true,false
adityankale190895/DiffCI.com:cafe1d6c0d7ff5f047df9ae5253f1c9835203489:33305736531:1,cafe1d6c0d7ff5f047df9ae5253f1c9835203489,2026-08-30T10:08:32.149Z,SELECTIVE,0,173,33305736531,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33305736473,success,2026-08-30T10:08:16Z,2026-08-30T11:05:28Z,true,false
adityankale190895/DiffCI.com:f3229a5eb91c1b17ee6906884f5ab3a5499114d7:33305956369:1,f3229a5eb91c1b17ee6906884f5ab3a5499114d7,2026-08-30T10:13:48.547Z,SELECTIVE,1,173,33305956369,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33305956370,success,2026-08-30T10:13:33Z,2026-08-30T11:09:10Z,true,false
adityankale190895/DiffCI.com:e0d75511fd21aaaeb40a80c445574ccb960cd308:33307406514:1,e0d75511fd21aaaeb40a80c445574ccb960cd308,2026-08-30T10:49:40.336Z,SELECTIVE,0,173,33307406514,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33307406546,success,2026-08-30T10:49:29Z,2026-08-30T11:21:39Z,true,false
adityankale190895/DiffCI.com:236c88f07e4e36404b97aca7149d6a56ac7a55e0:33308599561:1,236c88f07e4e36404b97aca7149d6a56ac7a55e0,2026-08-30T11:18:51.331Z,SELECTIVE,1,173,33308599561,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33308599608,success,2026-08-30T11:18:34Z,2026-08-30T11:48:10Z,true,false
adityankale190895/DiffCI.com:3c1ad866dc979e68915520f850af869320332d09:33308901043:1,3c1ad866dc979e68915520f850af869320332d09,2026-08-30T11:26:03.904Z,SELECTIVE,0,173,33308901043,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33308901041,success,2026-08-30T11:25:46Z,2026-08-30T12:14:58Z,true,false
adityankale190895/DiffCI.com:c4d4f8043b44506b7d44dd031062efa6f0162d46:33309082350:1,c4d4f8043b44506b7d44dd031062efa6f0162d46,2026-08-30T11:30:32.418Z,SELECTIVE,0,173,33309082350,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33309082394,success,2026-08-30T11:30:16Z,2026-08-30T12:17:38Z,true,false
adityankale190895/DiffCI.com:7fb1d3a5d1b3c78be495d9d2d13b0e6f67f7eea3:33309335884:1,7fb1d3a5d1b3c78be495d9d2d13b0e6f67f7eea3,2026-08-30T11:36:21.995Z,SELECTIVE,1,173,33309335884,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33309335847,success,2026-08-30T11:36:05Z,2026-08-30T12:21:18Z,true,false
adityankale190895/DiffCI.com:bae2d00c78e3a2dd85386f155c4b8ffd73e21e73:33309694998:1,bae2d00c78e3a2dd85386f155c4b8ffd73e21e73,2026-08-30T11:45:14.451Z,SELECTIVE,0,173,33309694998,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33309695022,success,2026-08-30T11:44:55Z,2026-08-30T13:43:28Z,true,false
adityankale190895/DiffCI.com:6a6cfad6d339e723bf5aec9ab3c2a7038867e811:33309785162:1,6a6cfad6d339e723bf5aec9ab3c2a7038867e811,2026-08-30T11:47:21.190Z,SELECTIVE,1,173,33309785162,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33309785166,success,2026-08-30T11:47:03Z,2026-08-30T13:47:07Z,true,false
adityankale190895/DiffCI.com:4753ff586859e1cfae2aaeb85bf555ab045447ce:33310122454:1,4753ff586859e1cfae2aaeb85bf555ab045447ce,2026-08-30T11:55:31.242Z,SELECTIVE,0,173,33310122454,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33310122438,success,2026-08-30T11:55:10Z,2026-08-30T14:24:48Z,true,false
adityankale190895/DiffCI.com:ac46264ab40bf788b601f9900e502444c3cb41ea:33310831165:1,ac46264ab40bf788b601f9900e502444c3cb41ea,2026-08-30T12:12:02.309Z,SELECTIVE,0,173,33310831165,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33310831146,success,2026-08-30T12:11:42Z,2026-08-30T14:38:44Z,true,false
adityankale190895/DiffCI.com:e91ca0bfe704398a67b424d7ac7e75ac860207f9:33310964015:1,e91ca0bfe704398a67b424d7ac7e75ac860207f9,2026-08-30T12:15:08.251Z,SELECTIVE,0,173,33310964015,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33310964021,success,2026-08-30T12:14:48Z,2026-08-30T15:03:45Z,true,false
adityankale190895/DiffCI.com:e01fc2cea05f1065b9d44a9292ddaedf981dc272:33316560143:1,e01fc2cea05f1065b9d44a9292ddaedf981dc272,2026-08-31T05:06:52.960Z,SELECTIVE,1,174,33316560143,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33316560173,success,2026-08-30T14:19:43Z,2026-08-31T05:12:48Z,true,false
adityankale190895/DiffCI.com:2f03a82132349574a17f2c06ce1a1cacbb024c01:33317292658:1,2f03a82132349574a17f2c06ce1a1cacbb024c01,2026-08-31T05:06:53.749Z,SELECTIVE,1,174,33317292658,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33317292709,success,2026-08-30T14:35:43Z,2026-08-31T05:20:01Z,true,false
adityankale190895/DiffCI.com:d633042b2d6c610c024f1550fe1865f873d24fbb:33318920628:1,d633042b2d6c610c024f1550fe1865f873d24fbb,2026-08-31T05:06:55.111Z,SELECTIVE,0,174,33318920628,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33318920625,success,2026-08-30T15:11:02Z,2026-08-31T05:39:41Z,true,false
adityankale190895/DiffCI.com:3814f37f1a0bbaa6b0e8afd0b72a3d2ad9d13775:33352990832:1,3814f37f1a0bbaa6b0e8afd0b72a3d2ad9d13775,2026-08-31T05:06:55.823Z,SELECTIVE,1,174,33352990832,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33352990828,success,2026-08-31T03:10:44Z,2026-08-31T05:43:48Z,true,false
adityankale190895/DiffCI.com:bef7029907ec5bd0c3216949e12f95bceacff1bf:33359189935:1,bef7029907ec5bd0c3216949e12f95bceacff1bf,2026-08-31T05:06:58.101Z,SELECTIVE,0,174,33359189935,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33359189745,success,2026-08-31T05:03:53Z,2026-08-31T06:13:19Z,true,false
adityankale190895/DiffCI.com:a82a5e1c417887114bf63c7c279bd43b7db8125c:33359568423:1,a82a5e1c417887114bf63c7c279bd43b7db8125c,2026-08-31T05:10:39.127Z,SELECTIVE,0,174,33359568423,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33359568369,success,2026-08-31T05:10:22Z,2026-08-31T06:59:59Z,true,false
adityankale190895/DiffCI.com:fea70e378cc10e34f2e356d39754f097deac113d:33359973570:1,fea70e378cc10e34f2e356d39754f097deac113d,2026-08-31T05:17:07.636Z,FULL,174,174,33359973570,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33359973597,success,2026-08-31T05:16:51Z,2026-08-31T07:00:50Z,true,false
adityankale190895/DiffCI.com:7cda6e533bfcf61192a4fe0008f3fc2e9ef329dc:33362677356:1,7cda6e533bfcf61192a4fe0008f3fc2e9ef329dc,2026-08-31T06:03:36.939Z,SELECTIVE,0,174,33362677356,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33362677414,success,2026-08-31T06:03:22Z,2026-08-31T08:01:25Z,true,false
adityankale190895/DiffCI.com:f5f3decfbb04fdf5563d2ad7f78fc856fdc03e1f:33362866984:1,f5f3decfbb04fdf5563d2ad7f78fc856fdc03e1f,2026-08-31T06:06:35.345Z,SELECTIVE,1,174,33362866984,.github/workflows/diffci-observe.yml,success,WRONG_WORKFLOW,1,EVIDENCE_EXECUTED,33362866991,success,2026-08-31T06:06:20Z,2026-08-31T08:21:10Z,true,false
